Time GPS,Mission time,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,infinito Celsius,infinito Volts,infinito Vcc,exterior Celsius,exterior Volts,exterior Vcc,anemometro Celsius,anemometro Volts,anemometro Vcc
Thu 1970-01-01 01:00:00 CET,3.496807,31.817110,2.618080,4.838320,31.481228,2.614720,4.834680,28.783806,2.604500,4.836560,28.712896,2.605000,4.838040,31.398840,2.615720,4.837160,31.193403,2.613160,4.834000,262.648651,3.269940,4.838520
Thu 1970-01-01 01:00:00 CET,4.497866,30.889380,2.615940,4.841480,31.364174,2.615360,4.836760,28.590710,2.604660,4.838360,28.212826,2.603440,4.839040,31.178873,2.615240,4.837960,30.866787,2.616300,4.842320,258.591858,3.269940,4.850160
Thu 1970-01-01 01:00:00 CET,5.503030,31.472792,2.621240,4.846800,31.176132,2.620440,4.847600,28.695732,2.609860,4.847200,28.164167,2.608680,4.849160,31.086365,2.621580,4.850400,30.555899,2.620040,4.851640,258.103912,3.270120,4.851840
Thu 1970-01-01 01:00:00 CET,6.530965,31.239088,2.624140,4.853960,31.396685,2.623260,4.851120,28.610828,2.611140,4.850240,28.253242,2.610540,4.851920,31.540464,2.624420,4.852160,30.759327,2.620780,4.851440,258.292908,3.269680,4.850640
Thu 1970-01-01 01:00:00 CET,7.531277,31.345701,2.623740,4.852400,31.423994,2.623460,4.851280,28.426264,2.612000,4.853280,28.162907,2.611020,4.853520,31.046560,2.623360,4.854000,30.307856,2.620300,4.854040,257.968597,3.269640,4.851520
Thu 1970-01-01 01:00:00 CET,8.531545,31.743767,2.624940,4.851560,31.488987,2.623860,4.851520,28.188866,2.611280,4.853800,28.266254,2.611520,4.853640,31.857479,2.625520,4.851760,30.585108,2.620680,4.852600,257.874329,3.269860,4.852120
Thu 1970-01-01 01:00:00 CET,9.531685,31.122105,2.623480,4.853640,31.275600,2.623600,4.852680,28.656540,2.612280,4.852000,28.305717,2.611880,4.854000,31.774557,2.624440,4.850400,30.334202,2.614040,4.842240,262.939331,3.270580,4.838640
Thu 1970-01-01 01:00:00 CET,10.533416,31.753805,2.618900,4.840320,30.853395,2.616720,4.843200,29.002602,2.606860,4.839240,27.911411,2.603980,4.842400,30.920563,2.616740,4.842720,30.449495,2.615060,4.843240,260.910431,3.270180,4.843840
Thu 1970-01-01 01:00:00 CET,11.531804,31.363312,2.618060,4.841760,31.226437,2.617600,4.841960,28.663401,2.606860,4.841880,28.294798,2.605420,4.842080,31.259747,2.617760,4.842000,30.681574,2.615400,4.842080,261.162598,3.269560,4.842200
Thu 1970-01-01 01:00:00 CET,12.525404,31.410725,2.623340,4.851160,30.826893,2.621580,4.852400,28.820292,2.611180,4.848680,28.048552,2.610280,4.853040,31.134418,2.623380,4.853360,30.596375,2.620360,4.851920,258.537811,3.270940,4.851800
Thu 1970-01-01 01:00:00 CET,13.531437,30.866571,2.621940,4.852760,30.779982,2.621860,4.853280,28.568409,2.611780,4.851760,28.298920,2.610280,4.851080,30.785553,2.621840,4.853200,30.905233,2.621280,4.851240,258.576843,3.271340,4.852280
Thu 1970-01-01 01:00:00 CET,14.531364,31.133310,2.623440,4.853480,31.118534,2.622600,4.852040,28.617781,2.610480,4.848960,28.550474,2.610800,4.850080,31.073526,2.623040,4.853200,30.834095,2.620400,4.850160,257.835602,3.270620,4.853360
Thu 1970-01-01 01:00:00 CET,15.532188,31.636372,2.624840,4.852200,30.932291,2.623100,4.854400,28.393566,2.610700,4.851120,28.366436,2.610220,4.850440,31.427719,2.623800,4.851880,30.533154,2.619880,4.851520,258.319031,3.270540,4.851840
Thu 1970-01-01 01:00:00 CET,16.498004,31.700600,2.622380,4.847160,31.317993,2.620900,4.847360,28.764240,2.610880,4.848560,28.334385,2.608600,4.847680,31.117857,2.620500,4.848160,30.633957,2.618140,4.847520,258.883087,3.269860,4.849200
Thu 1970-01-01 01:00:00 CET,17.498442,31.263533,2.614640,4.836200,31.189493,2.613360,4.834400,29.088190,2.604740,4.834640,28.115110,2.601760,4.836680,30.954271,2.613400,4.836280,30.114796,2.611420,4.839080,262.787659,3.271640,4.840640
Thu 1970-01-01 01:00:00 CET,18.514309,31.172253,2.614240,4.836160,31.147440,2.616580,4.840680,28.087429,2.606700,4.846080,28.173304,2.605060,4.842360,31.195805,2.618100,4.843120,30.244701,2.614660,4.844080,262.247345,3.271600,4.842120
Thu 1970-01-01 01:00:00 CET,19.526017,31.790539,2.619420,4.841000,31.228252,2.618040,4.842760,28.283478,2.605760,4.842800,28.112650,2.605300,4.843280,31.170315,2.617540,4.842280,31.295858,2.618580,4.843240,258.379028,3.270280,4.851280
Thu 1970-01-01 01:00:00 CET,20.525390,31.254143,2.622040,4.849960,31.159508,2.623960,4.854240,28.758026,2.612340,4.851320,28.159830,2.610340,4.852280,31.963280,2.624920,4.849840,30.499233,2.620840,4.853560,257.755096,3.270220,4.853000
Thu 1970-01-01 01:00:00 CET,21.531350,31.785212,2.625480,4.852240,30.935925,2.623180,4.854520,28.581205,2.611640,4.851400,28.796818,2.611060,4.848640,31.382185,2.622940,4.850640,30.832649,2.621280,4.851800,258.417938,3.270760,4.851880
Thu 1970-01-01 01:00:00 CET,22.524660,31.196297,2.623140,4.852440,31.020702,2.622020,4.851720,28.188097,2.611040,4.853360,28.204861,2.611240,4.853600,31.189247,2.623500,4.853160,30.808084,2.621480,4.852360,257.954834,3.271500,4.854320
Thu 1970-01-01 01:00:00 CET,23.524841,31.415066,2.623120,4.850720,30.705830,2.622480,4.855000,28.252352,2.611160,4.853080,28.405285,2.610900,4.851400,31.419098,2.624240,4.852760,30.579752,2.620960,4.853160,257.040405,3.268740,4.852880
Thu 1970-01-01 01:00:00 CET,24.525147,31.110407,2.623280,4.853360,31.207010,2.622320,4.850840,28.543461,2.610340,4.849280,27.989254,2.609320,4.851720,31.428888,2.623740,4.851760,30.667322,2.619640,4.850040,263.466675,3.271160,4.838000
Thu 1970-01-01 01:00:00 CET,25.531260,31.799530,2.618440,4.839120,31.202454,2.617760,4.842440,28.441767,2.606920,4.843720,28.146944,2.605100,4.842640,31.519466,2.619400,4.843040,30.616135,2.616640,4.844880,260.884674,3.269860,4.843440
Thu 1970-01-01 01:00:00 CET,26.530890,31.122105,2.617880,4.843280,30.893167,2.617080,4.843560,28.344719,2.606620,4.843920,28.261055,2.605020,4.841600,31.252850,2.617580,4.841720,30.768284,2.616020,4.842560,260.989197,3.270440,4.844000
Thu 1970-01-01 01:00:00 CET,27.532199,31.525562,2.624120,4.851720,31.123028,2.622100,4.851080,28.893940,2.611920,4.849480,28.076324,2.610440,4.853120,31.222157,2.623940,4.853720,30.978806,2.622040,4.852080,257.401245,3.268800,4.851920
Thu 1970-01-01 01:00:00 CET,28.530825,31.440063,2.622640,4.849640,31.025103,2.622060,4.851760,28.590803,2.612240,4.852440,28.397257,2.611060,4.851760,31.646410,2.623800,4.850200,31.102833,2.619400,4.846240,259.776978,3.270520,4.847600
Thu 1970-01-01 01:00:00 CET,29.498176,31.584461,2.620600,4.844760,31.107944,2.619940,4.847200,28.638237,2.610200,4.848280,27.833570,2.608040,4.850560,30.717987,2.619160,4.848760,30.707491,2.618360,4.847360,258.478729,3.269800,4.850280
Thu 1970-01-01 01:00:00 CET,30.382460,31.395269,2.614040,4.834080,30.729038,2.613480,4.838160,28.953747,2.606720,4.839360,28.446104,2.602740,4.835920,31.394161,2.615160,4.836160,30.644884,2.614340,4.840400,263.419464,3.270880,4.837720
